plant_name,disease,how_to_use,local_name,season
Neem,Diabetes,Neem leaf juice taken daily in morning,Azadirachta indica,Perennial
Jamun,Diabetes,Jamun seed powder taken with warm water,Syzygium cumini,Summer
Bitter Gourd,Diabetes,Drink fresh karela juice on empty stomach,Momordica charantia,Summer/Monsoon
Tulsi,Cold,Tulsi leaf tea taken twice daily,Holy Basil,Perennial
Ginger,Cold,Ginger tea with honey reduces cold symptoms,Adrak,Winter
Peppermint,Cold,Peppermint steam inhalation clears nasal blockage,Pudina,Summer
Aloe Vera,Skin Burns,Apply fresh aloe vera gel directly,Ghritkumari,Perennial
Turmeric,Skin Burns,Apply turmeric paste mixed with coconut oil,Haldi,Winter
Clove,Toothache,Place clove oil on affected tooth,Laung,Winter
Garlic,Toothache,Crushed garlic applied on tooth reduces pain,Lahsun,Winter
Ashwagandha,Stress,Ashwagandha powder taken with milk at night,Withania somnifera,Winter
Brahmi,Stress,Brahmi juice improves mental calmness,Bacopa monnieri,Monsoon/Perennial
Arjuna,Heart Disease,Arjuna bark powder strengthens heart muscles,Terminalia arjuna,Perennial
Vasaka,Cough,Boil leaves in water and drink the decoction,Adhatoda vasica,Perennial
Babul,Bleeding Gums,Gargle with bark decoction daily,Acacia arabica,Perennial
Coriander,Indigestion,Drink coriander seed powder with warm water,Dhania,Winter
Kalmegh,Diarrhea,Take fresh leaf juice once daily,Andrographis paniculata,Monsoon/Autumn
Punarnava,Kidney Health,Root decoction for urinary health,Boerhavia diffusa,Monsoon
Shatavari,Vitality,Root powder with milk,Asparagus racemosus,Autumn/Winter
Amla,Vitamin C,Consume fresh fruit or juice,Emblica officinalis,Winter
Giloy,Immunity,Stem decoction taken daily,Tinospora cordifolia,Perennial
Bael,Digestion,Consume fruit pulp or sharbat,Aegle marmelos,Summer
Ashok,Women's Health,Bark decoction,Saraca asoca,Spring
Guggulu,Joint Pain,Resin extract capsules or powder,Commiphora mukul,Winter
Haritaki,Constipation,Powder with warm water at night,Terminalia chebula,Winter
Baheda,Cough/Cold,Fruit rind powder with honey,Terminalia bellirica,Winter
Mulethi,Sore Throat,Chew on the root or take tea,Glycyrrhiza glabra,Autumn/Winter
Pippali,Respiratory,Fruit powder with honey,Piper longum,Monsoon/Autumn
Shalaparni,Heart Health,Root decoction with milk,Desmodium gangeticum,Monsoon
Agastya,Night blindness,Consume leaves/flowers as veg,Sesbania grandiflora,Winter
Bakula,Loose teeth,Gargle with bark decoction,Mimusops elengi,Summer
Chirabilva,Nausea,Bark powder with honey,Holoptelea integrifolia,Summer
Dhataki,Healing,Flower powder with honey,Woodfordia fruticosa,Summer
Gunja,Sciatica,Purified seed paste (External),Abrus precatorius,Winter
Ishwari,Toxins,Root paste (Emergency use),Aristolochia indica,Monsoon
Jatiphala,Insomnia,Nutmeg powder in warm milk,Myristica fragrans,Winter
Kankola,Irritation,Fruit powder with water,Piper cubeba,Autumn
Karavira,Skin Issues,Root bark oil application,Nerium oleander,Perennial
Latakaranja,Colic,Seed powder with black salt,Caesalpinia bonduc,Winter
Madhavilata,Skin diseases,Leaf juice application,Hiptage benghalensis,Spring
Mahanimba,Piles,Seed powder with water,Melia azedarach,Summer
Narayana,Strength,Massage with root infused oil,Asparagus racemosus,Autumn/Winter
Saptaparna,Fever,Bark decoction (Bitter tonic),Alstonia scholaris,Autumn
Shatavari,Lactation,Take root powder with milk at night,Asparagus racemosus,Autumn/Winter
Bael,Dysentery,Eat dry fruit pulp with water,Aegle marmelos,Summer
Chitrak,Arthritis,Apply root paste on joints for pain relief,Plumbago zeylanica,Monsoon/Autumn
Mandukparni,Memory Loss,Drink fresh leaf juice in the morning,Centella asiatica,Perennial
Palasha,Worms,Take seed powder with honey,Butea monosperma,Spring/Summer
Amaltas,Constipation,Eat fruit pulp as a mild laxative,Cassia fistula,Summer
Ashok,Menstrual Disorders,Bark decoction taken during periods,Saraca indica,Spring/Summer
Senna,Constipation,Leaf powder taken with warm water at night,Cassia angustifolia,Autumn
Patharchatta,Kidney Stones,Eat fresh leaves raw daily morning,Kalanchoe pinnata,Perennial
Parijat,Joint Pain,Drink leaf decoction twice daily,Nyctanthes arbor-tristis,Autumn
Aprajita,Brain Health,Blue flower tea improves cognitive function,Clitoria ternatea,Monsoon/Autumn
Manjistha,Skin Diseases,Apply root powder paste on affected area,Rubia cordifolia,Winter
Bhringraj,Hair Loss,Apply leaf juice or oil infused with it,Eclipta alba,Monsoon
Safed Musli,Weakness,Take root powder with milk,Chlorophytum borivilianum,Monsoon
Gokhru,Urinary Infection,Boil fruit in water and drink daily,Tribulus terrestris,Monsoon
Shankhpushpi,Memory Loss,Take whole plant juice with honey,Convolvulus pluricaulis,Monsoon
Nagarmotha,Fever,Drink tuber decoction for cooling effect,Cyperus rotundus,Perennial
Kachnar,Thyroid,Bark decoction taken once daily,Bauhinia variegata,Spring/Summer
Vidarikand,Rejuvenation,Take tuber powder with milk,Pueraria tuberosa,Winter
Makoi,Liver Disease,Take fresh fruit juice twice daily,Solanum nigrum,Perennial
Kantakari,Cough,Boil whole plant and drink decoction,Solanum xanthocarpum,Perennial
Malkangni,Memory Loss,Take 2-3 drops of seed oil with milk,Celastrus paniculatus,Winter
